scouter,pathDrawer,eventCode,matchLevel,matchNumber,robot,teamNumber,Auto Location,Auto Action,Auto Amp Makes,Auto Amp Misses,Auto Speaker Scores,Auto Speaker Misses,Speaker Score,Speaker Misses,Scoring Location,Bumper Only Scoring,Amp Scores,Amp Misses,Notes Shuttled,Defense Played,Defense Location,Penalties,Stage Travel,Paths,Parked,Onstage,Chain Position,Trap,Damaged,Died or Immobilized,Note Stuck,comments,Drivetype
,0.0,TEST1,qm,26.0,r3,7457.0,ifsas,o,0.0,,1.0,1.0,2.0,3.0,n,0.0,2.0,0.0,0.0,0.0,,0.0,n,,0.0,o,,,,,,,
Jib,0.0,TEST1,qm,27.0,b2,4272.0,insm,punz,0.0,,3.0,1.0,4.0,2.0,b,0.0,3.0,0.0,0.0,0.0,,0.0,n,,0.0,x,,,,,,,
JP,0.0,TEST,qm,22.0,r1,8430.0,bsss,sz,0.0,,0.0,0.0,0.0,0.0,n,0.0,4.0,0.0,0.0,0.0,n,0.0,n,,0.0,x,side,0.0,,0.0,0.0,Drops notes a lot,swv
JP,0.0,TEST,qm,23.0,r2,3559.0,insas,sz,0.0,,0.0,0.0,2.0,1.0,ne,0.0,0.0,0.0,0.0,0.0,n,0.0,n,,1.0,x,side,0.0,,0.0,0.0,Slow,oth
JP,0.0,TEST,qm,25.0,r3,8430.0,insm,sz,0.0,,0.0,0.0,0.0,0.0,n,0.0,0.0,0.0,0.0,0.0,ao,0.0,bh,,1.0,x,side,0.0,,0.0,0.0,,swv
FOO,0.0,TEST1,qm,23.0,r1,1720.0,bsss,sz,0.0,,0.0,1.0,0.0,0.0,n,0.0,0.0,0.0,5.0,0.0,n,0.0,n,,0.0,o,mid,0.0,,0.0,0.0,Doesn't attempt to score,swv
ZD,0.0,TEST1,qm,23.0,b2,8564.0,ifsas,no,0.0,,1.0,0.0,2.0,4.0,ne,0.0,0.0,0.0,0.0,0.0,n,0.0,bl,,0.0,x,side,0.0,,0.0,0.0,Didn't do anything really well,swv
ZD,0.0,TEST1,qm,22.0,b3,8116.0,bsss,no,0.0,,0.0,0.0,1.0,4.0,ne,1.0,0.0,0.0,0.0,0.0,nos,0.0,bl,,0.0,o,side,0.0,,0.0,0.0,Good defense bot,swv
FOO,0.0,TEST1,qm,19.0,r1,7454.0,insas,sz,0.0,,0.0,1.0,3.0,0.0,ne,0.0,2.0,0.0,0.0,0.0,n,0.0,n,,1.0,x,side,0.0,,0.0,0.0,"Slow, only source pick ups",swv
FOO,0.0,TEST1,qm,46.0,b2,234.0,insm,punz,0.0,,2.0,0.0,7.0,1.0,ne,1.0,0.0,0.0,0.0,0.0,n,0.0,n,,0.0,x,side,0.0,,0.0,0.0,Slow movement,swv
JP,0.0,TEST,qm,7457.0,r3,26.0,ifsas,puncl,0.0,,1.0,1.0,3.0,3.0,f,0.0,2.0,0.0,0.0,0.0,n,0.0,rd,,0.0,o,mid,0.0,,0.0,0.0,,swv
JP,0.0,TEST,qm,24.0,b2,4272.0,bas,no,0.0,,0.0,0.0,2.0,1.0,f,0.0,2.0,0.0,0.0,0.0,n,0.0,n,,0.0,x,side,0.0,,0.0,0.0,,swv
ZD,0.0,TEST1,qm,27.0,r2,8564.0,bsss,no,0.0,,0.0,1.0,0.0,1.0,ne,1.0,0.0,0.0,0.0,0.0,n,0.0,n,,0.0,x,side,0.0,,0.0,0.0,Doesn't look very good no movement ,swv
Jib,0.0,TEST1,qm,27.0,b2,4272.0,insm,punz,0.0,,3.0,1.0,4.0,2.0,b,0.0,3.0,0.0,0.0,0.0,,0.0,n,,0.0,x,,,,,,,
Jib,0.0,TEST1,qm,27.0,b2,4272.0,insm,punz,0.0,,3.0,1.0,4.0,2.0,n,0.0,3.0,0.0,0.0,0.0,,0.0,n,,0.0,x,,,,,,,
CSC,0.0,2024week0,qm,23.0,b1,7657.0,insm,punz,0.0,,1.0,1.0,1.0,0.0,ne,1.0,0.0,0.0,0.0,0.0,n,0.0,n,,1.0,a,side,0.0,,0.0,0.0,Slow movement,swv
CSC,0.0,2024week0,qm,20.0,r2,7657.0,insm,punz,0.0,,1.0,0.0,1.0,0.0,ne,1.0,0.0,0.0,0.0,1.0,nos,0.0,n,,0.0,o,side,0.0,,0.0,0.0,Capable of harmony,swv
CSC,0.0,2024week0,qm,18.0,r1,4926.0,bas,punz,0.0,,1.0,0.0,1.0,0.0,ne,1.0,0.0,0.0,0.0,0.0,n,0.0,rd,,1.0,x,side,0.0,,1.0,0.0,Innefective movement,oth
DSM,0.0,TESTCOL,qm,26.0,b3,9153.0,bsss,sz,0.0,,0.0,0.0,0.0,1.0,n,1.0,0.0,0.0,0.0,0.0,n,0.0,n,,1.0,a,mid,0.0,,0.0,0.0,barely able to drive,oth
DSM,0.0,TESTCOL,qm,23.0,r3,9453.0,bas,sz,0.0,,0.0,0.0,0.0,1.0,ne,0.0,0.0,0.0,0.0,0.0,n,0.0,n,,1.0,a,mid,0.0,,0.0,0.0,,oth
DSM,0.0,TESTCOL,qm,19.0,b3,9491.0,bsss,sz,0.0,,0.0,0.0,1.0,1.0,ne,0.0,0.0,0.0,0.0,0.0,n,0.0,n,,1.0,a,mid,0.0,,0.0,0.0,slow to feed and bad take long to speaker,oth
PJH,0.0,2024week,sf,4.0,b1,234.0,bas,punz,0.0,,1.0,0.0,0.0,0.0,n,0.0,0.0,0.0,0.0,0.0,n,0.0,n,,1.0,a,side,0.0,,0.0,1.0,,swv
LF,0.0,2024week0,sf,1.0,b1,234.0,ifsas,punz,0.0,,1.0,0.0,0.0,0.0,n,0.0,0.0,1.0,0.0,0.0,n,0.0,n,,1.0,a,side,0.0,,0.0,0.0,,oth
JLD ,0.0,2024week0,qm,4.0,b1,234.0,ifsas,no,0.0,,0.0,0.0,1.0,0.0,n,0.0,0.0,1.0,0.0,0.0,n,0.0,n,,0.0,a,side,0.0,,0.0,0.0,,swv
Cmh,0.0,2024week0,f,4.0,b1,234.0,bas,punz,0.0,,0.0,0.0,0.0,1.0,n,0.0,0.0,1.0,0.0,0.0,n,0.0,bh,,1.0,a,side,0.0,,0.0,1.0,,oth
EB,0.0,2024week0,sf,1.0,b1,234.0,ifsas,punz,0.0,,1.0,0.0,0.0,1.0,n,0.0,0.0,1.0,0.0,0.0,n,0.0,n,,1.0,a,side,0.0,,0.0,1.0,,oth
Olm,0.0,2024week0,qm,6.0,r1,234.0,ifsas,no,0.0,,0.0,0.0,3.0,1.0,ne,0.0,1.0,0.0,0.0,1.0,n,0.0,n,,1.0,x,mid,0.0,,0.0,0.0,,swv
AC,0.0,Smoky,qm,6.0,b1,234.0,bas,punz,0.0,,0.0,0.0,0.0,1.0,n,0.0,0.0,1.0,0.0,0.0,n,0.0,bh,,1.0,a,side,0.0,,0.0,1.0,Not good,swv
CSC,0.0,2024week0,qm,4.0,b1,234.0,bas,punz,0.0,,0.0,0.0,0.0,1.0,n,0.0,0.0,1.0,0.0,1.0,nos,0.0,bh,,1.0,a,side,0.0,,0.0,1.0,,oth
DKE,0.0,2024week0,qm,4.0,b1,58.0,ifsas,sz,0.0,,0.0,0.0,1.0,1.0,f,0.0,0.0,1.0,0.0,1.0,oth,0.0,n,,1.0,a,side,0.0,,0.0,1.0,,swv
CDE,0.0,2024week0,sf,4.0,b1,234.0,ifsas,sz,0.0,,0.0,0.0,1.0,1.0,f,0.0,0.0,1.0,0.0,1.0,oth,0.0,n,,1.0,a,side,0.0,,0.0,1.0,,swv
CJ,0.0,2024week0,sf,4.0,b1,234.0,ifsas,puncl,0.0,,0.0,0.0,0.0,0.0,n,0.0,0.0,1.0,0.0,0.0,ao,0.0,n,,1.0,x,side,0.0,,0.0,0.0,,swv
CJ,0.0,2024week0,sf,6.0,b1,234.0,ifsas,punz,0.0,,0.0,2.0,0.0,1.0,ne,0.0,0.0,0.0,0.0,0.0,ao,0.0,n,,1.0,x,side,0.0,,0.0,0.0,,swv
BW,0.0,2024week0,qm,4.0,b1,234.0,ifsas,no,0.0,,1.0,0.0,0.0,0.0,n,0.0,0.0,1.0,0.0,0.0,n,0.0,n,,0.0,o,side,0.0,,0.0,1.0,It was not doing much,swv
LF,0.0,2024week0,f,2.0,b1,243.0,ifsas,punz,0.0,,0.0,2.0,0.0,1.0,n,0.0,0.0,0.0,0.0,1.0,nos,0.0,n,,1.0,a,side,0.0,,0.0,1.0,Appears like shooter broke,oth
EB,0.0,2024week0,sf,2.0,b1,,ifsas,no,0.0,,0.0,2.0,0.0,1.0,ne,0.0,0.0,0.0,0.0,0.0,nos,0.0,n,,1.0,a,side,0.0,,0.0,0.0,,oth
CDE,0.0,2024week0,sf,6.0,b1,234.0,ifsas,punz,0.0,,0.0,1.0,0.0,1.0,n,0.0,0.0,0.0,0.0,1.0,ao,0.0,n,,1.0,a,side,0.0,,0.0,0.0,Very slow,swv
A.F.O,0.0,2024week0,sf,4.0,r1,234.0,bas,no,0.0,,1.0,0.0,0.0,1.0,n,0.0,0.0,1.0,1.0,1.0,nos,0.0,bl,,1.0,x,side,0.0,,0.0,1.0,Only drives through the source side ,swv
PJH,0.0,2024week,sf,6.0,b1,234.0,bas,sz,0.0,,0.0,1.0,0.0,1.0,ne,0.0,0.0,0.0,0.0,0.0,n,0.0,n,,1.0,a,side,0.0,,0.0,0.0,,swv
PJH,0.0,2024week,qm,59.0,r2,234.0,insm,sz,0.0,,1.0,0.0,4.0,0.0,ne,0.0,0.0,0.0,0.0,0.0,n,0.0,n,,0.0,o,mid,0.0,,0.0,0.0,,swv
LF,0.0,Smokey Mountains Regional,qm,8.0,b1,3467.0,ifsas,no,0.0,,0.0,0.0,3.0,2.0,n,0.0,2.0,0.0,0.0,0.0,n,0.0,n,,1.0,a,side,0.0,,0.0,0.0,,swv
EB,0.0,2024week0,qm,6.0,r1,234.0,insas,no,0.0,,0.0,0.0,1.0,1.0,ne,1.0,1.0,0.0,1.0,0.0,n,0.0,n,,1.0,x,side,0.0,,0.0,0.0,,oth
A.F.O,0.0,2024week0,qm,53.0,r3,234.0,bsss,no,0.0,,0.0,1.0,5.0,1.0,ne,0.0,0.0,1.0,0.0,0.0,n,0.0,n,,1.0,o,mid,0.0,,0.0,0.0,Can't score in the amp,swv
CDE,0.0,2024week0,qm,22.0,r3,234.0,bas,punz,0.0,,1.0,1.0,3.0,1.0,b,0.0,1.0,0.0,0.0,1.0,oth,0.0,n,,1.0,o,mid,0.0,,0.0,0.0,,swv
M.B,0.0,Smoky Mountains Regional ,sf,4.0,b2,234.0,bas,o,0.0,,2.0,0.0,2.0,1.0,f,0.0,0.0,1.0,0.0,1.0,ao,0.0,bh,,1.0,a,side,0.0,,0.0,1.0,,oth
DKE,0.0,Smokeymountains,qm,17.0,b1,234.0,insm,punz,0.0,,1.0,0.0,9.0,1.0,ne,0.0,0.0,2.0,0.0,0.0,n,0.0,n,,0.0,o,mid,0.0,,0.0,0.0,Dropped notes,swv
JAM,0.0,2024week3,qm,9.0,b3,4923.0,bas,punz,0.0,,1.0,0.0,2.0,1.0,b,0.0,2.0,0.0,0.0,1.0,ao,0.0,n,,0.0,x,side,0.0,,0.0,0.0,,oth
Olm,0.0,2024week1,qm,9.0,b3,4926.0,bas,punz,1.0,,1.0,0.0,2.0,1.0,b,0.0,2.0,0.0,0.0,1.0,ao,0.0,n,,0.0,x,mid,0.0,,0.0,0.0,,oth
JLD ,0.0,2024week0,qm,25.0,b1,234.0,insas,no,0.0,,0.0,1.0,5.0,0.0,n,0.0,2.0,0.0,0.0,0.0,ao,0.0,bh,,1.0,x,side,0.0,,0.0,0.0,,swv
AC,0.0,SmokyMountainRegional,sf,35.0,b1,234.0,insm,punz,0.0,,1.0,1.0,8.0,1.0,ne,1.0,0.0,0.0,0.0,0.0,n,0.0,n,,0.0,o,mid,0.0,,0.0,0.0,Very good,swv
Cmh,0.0,2024week0,qm,46.0,b2,234.0,insas,puncl,0.0,,2.0,1.0,3.0,1.0,ne,1.0,0.0,0.0,0.0,0.0,n,0.0,bh,,1.0,a,side,0.0,,0.0,0.0,,swv
CSC ,0.0,2024week0,qm,44.0,b1,234.0,bas,no,0.0,,0.0,1.0,1.0,0.0,n,0.0,0.0,2.0,0.0,1.0,ao,0.0,n,,0.0,o,mid,0.0,,0.0,1.0,,swv
EB,0.0,2024week0,sf,9.0,r1,8430.0,bsss,sz,0.0,,0.0,0.0,0.0,0.0,n,0.0,0.0,0.0,0.0,1.0,sbs,0.0,n,,0.0,x,side,0.0,,0.0,0.0,,swv
JAM,0.0,2024week2,qm,62.0,b2,4926.0,insm,punz,0.0,,1.0,0.0,3.0,1.0,b,0.0,1.0,0.0,0.0,0.0,n,0.0,n,,1.0,x,side,0.0,,1.0,0.0,,oth
Olm,0.0,2024week1,qm,62.0,b2,4926.0,insm,punz,0.0,,1.0,0.0,3.0,1.0,b,0.0,1.0,0.0,0.0,0.0,n,0.0,n,,1.0,x,side,0.0,,1.0,0.0,,oth
Sew,0.0,2024week1,qm,62.0,b2,4926.0,insm,punz,0.0,,1.0,0.0,3.0,1.0,ne,0.0,1.0,0.0,0.0,0.0,n,0.0,bh,,1.0,x,side,0.0,,1.0,0.0,,oth
LF,0.0,FIN District Columbus Event 2024,qm,42.0,b2,3559.0,bsss,no,0.0,,0.0,0.0,0.0,1.0,n,0.0,0.0,0.0,0.0,0.0,n,0.0,n,,0.0,o,mid,0.0,,0.0,0.0,Slow robots,swv
LF,0.0,FIN District Columbus Event 2024,qm,51.0,r3,3559.0,ifsas,no,0.0,,0.0,0.0,2.0,0.0,n,1.0,0.0,0.0,0.0,0.0,n,0.0,rd,,0.0,o,mid,0.0,,0.0,0.0,Slow turning,oth
CDE,0.0,2024week0,qm,67.0,r3,8564.0,insm,sz,0.0,,0.0,0.0,0.0,0.0,n,0.0,0.0,0.0,0.0,1.0,ao,1.0,rd,,1.0,o,mid,0.0,,0.0,0.0,,oth
EB,0.0,2024week0,sf,7.0,r1,8430.0,bsss,sz,0.0,,0.0,0.0,0.0,0.0,n,0.0,0.0,0.0,0.0,1.0,sbs,0.0,n,,0.0,x,side,0.0,,0.0,0.0,Not immobilized but barely moving ,oth
PJH,0.0,2024week,sf,13.0,r2,5484.0,insm,punz,0.0,,2.0,0.0,8.0,1.0,ne,1.0,0.0,0.0,0.0,0.0,n,0.0,rd,,1.0,x,side,0.0,,0.0,0.0,,swv
JLD ,0.0,2024week0,qm,9.0,r2,45.0,insas,sz,0.0,,1.0,0.0,9.0,0.0,n,0.0,0.0,0.0,0.0,0.0,sbs,0.0,bh,,0.0,o,mid,0.0,,0.0,0.0,,swv
M.B,0.0,Columbus ,qm,12.0,r1,5188.0,bas,afsna,1.0,,3.0,0.0,2.0,1.0,n,1.0,2.0,0.0,0.0,1.0,nos,0.0,bh,,0.0,a,mid,0.0,,0.0,1.0,Stuck in place lots of times ,swv
AC,0.0,Columbus,qm,64.0,r3,9491.0,bsss,no,0.0,,0.0,0.0,0.0,2.0,n,0.0,0.0,0.0,0.0,0.0,n,0.0,n,,1.0,a,side,0.0,,0.0,0.0,Strangely spins 360 before shooting,swv
DKE,0.0,Columbusweek3,qm,68.0,b2,8116.0,bsss,no,0.0,,0.0,0.0,1.0,2.0,n,0.0,0.0,0.0,0.0,0.0,n,0.0,bl,,0.0,x,side,0.0,,1.0,0.0,Could barely move,swv
DKE,0.0,Columbusweek3,qm,61.0,r2,8116.0,bsss,no,0.0,,0.0,0.0,3.0,4.0,n,0.0,0.0,0.0,0.0,0.0,n,0.0,n,,1.0,x,side,0.0,,0.0,0.0,,swv
DKE,0.0,Columbusweek3,qm,56.0,b3,8116.0,bsss,no,0.0,,0.0,0.0,0.0,3.0,n,0.0,0.0,0.0,0.0,0.0,n,0.0,n,,1.0,x,side,0.0,,0.0,0.0,,swv
SGG,0.0,Columbus ,qm,12.0,r1,5188.0,bas,sz,0.0,,0.0,0.0,1.0,0.0,ne,0.0,1.0,0.0,0.0,0.0,n,0.0,bh,,1.0,x,side,0.0,,1.0,0.0,They did not contribute much to scoring.,swv
JAM,0.0,2024week2,qm,54.0,b1,49264.0,bas,sz,0.0,,0.0,0.0,1.0,0.0,n,0.0,0.0,0.0,0.0,1.0,ao,0.0,n,,1.0,a,side,0.0,,1.0,1.0,,oth
Olm,0.0,2024week1,qm,54.0,b1,4926.0,insas,sz,0.0,,1.0,0.0,1.0,0.0,ne,0.0,0.0,0.0,0.0,1.0,ao,0.0,bl,,1.0,a,side,0.0,,1.0,1.0,,swv
Sew,0.0,2024week1,qm,54.0,b1,4926.0,bsss,no,0.0,,0.0,0.0,1.0,0.0,ne,0.0,0.0,0.0,0.0,1.0,ao,0.0,bl,,1.0,a,side,0.0,,1.0,1.0,,oth
JLD ,0.0,2024week0,qm,1.0,b1,45.0,ifsas,sz,0.0,,1.0,0.0,0.0,0.0,n,0.0,7.0,2.0,0.0,0.0,n,0.0,n,,1.0,x,side,0.0,,0.0,0.0,,swv
PJH,0.0,2024week,sf,11.0,b2,5484.0,insm,punz,0.0,,2.0,0.0,6.0,1.0,ne,1.0,0.0,0.0,0.0,0.0,n,0.0,bl,,1.0,x,side,0.0,,0.0,0.0,,swv
LF,0.0,FIN District Columbus Event 2024,qm,57.0,r2,3559.0,insas,no,0.0,,0.0,0.0,1.0,0.0,n,0.0,0.0,0.0,0.0,1.0,nos,4.0,n,,0.0,x,side,0.0,,1.0,0.0,Racked up penalties because it ,
CDE,0.0,2024week0,qm,59.0,r1,8564.0,bas,no,0.0,,0.0,0.0,0.0,0.0,n,0.0,0.0,0.0,1.0,1.0,ao,1.0,rd,,1.0,o,side,0.0,,0.0,0.0,It just waited onstage after a bit of shuttleing,oth
PJH,0.0,2024week,sf,8.0,r2,5484.0,insm,punz,0.0,,1.0,0.0,7.0,3.0,ne,1.0,0.0,0.0,0.0,0.0,n,0.0,bh,,1.0,x,side,0.0,,0.0,0.0,,swv
JLD ,0.0,2024week0,sf,7.0,r2,45.0,insas,sz,0.0,,1.0,0.0,6.0,2.0,n,0.0,0.0,0.0,0.0,0.0,n,0.0,bh,,0.0,o,side,0.0,,0.0,0.0,,swv
Sew,0.0,2024week1,qm,51.0,r2,4926.0,insm,punz,0.0,,2.0,0.0,2.0,0.0,n,0.0,1.0,0.0,0.0,1.0,ao,0.0,bh,,1.0,o,side,0.0,,0.0,0.0,,oth
JAM,0.0,2024week2,qm,51.0,r2,4926.0,insm,punz,0.0,,2.0,0.0,2.0,0.0,ne,0.0,1.0,0.0,0.0,1.0,ao,0.0,n,,0.0,o,side,0.0,,0.0,0.0,,oth
DKE,0.0,Columbusweek3,qm,51.0,b3,8116.0,bsss,no,0.0,,0.0,0.0,6.0,2.0,ne,0.0,0.0,0.0,0.0,0.0,n,0.0,n,,1.0,a,mid,0.0,,0.0,0.0,,swv
PJH,0.0,2024week,sf,3.0,b2,5484.0,insm,sz,0.0,,1.0,0.0,8.0,0.0,n,0.0,0.0,0.0,0.0,0.0,ao,0.0,bh,,0.0,x,side,0.0,,0.0,0.0,,swv
JLD ,0.0,2024week0,sf,1.0,r2,45.0,insas,sz,0.0,,2.0,0.0,11.0,1.0,n,0.0,0.0,0.0,0.0,0.0,ao,0.0,bh,,0.0,o,mid,0.0,,0.0,0.0,,swv
PJH,0.0,2024week,qm,4.0,r1,5484.0,insas,sz,0.0,,0.0,1.0,9.0,0.0,ne,1.0,0.0,0.0,0.0,0.0,n,0.0,bh,,1.0,x,side,0.0,,0.0,0.0,,swv
JAM,0.0,2024week0,qm,44.0,r3,4926.0,insas,no,0.0,,1.0,0.0,4.0,1.0,ne,1.0,0.0,0.0,0.0,0.0,n,0.0,n,,0.0,o,side,0.0,,0.0,0.0,,oth
Sew,0.0,2024week1,qm,44.0,r3,4926.0,insas,punz,0.0,,1.0,0.0,4.0,1.0,ne,0.0,0.0,0.0,0.0,0.0,n,0.0,bh,,1.0,o,side,0.0,,0.0,0.0,,oth
SM,0.0,2024week3Columbus,qm,66.0,r1,7454.0,ifsas,no,0.0,,1.0,0.0,2.0,0.0,ne,0.0,3.0,0.0,0.0,0.0,n,0.0,n,,0.0,x,side,0.0,,0.0,0.0,,oth
SM,0.0,2024week3Columbus,qm,58.0,b2,7454.0,insas,sz,0.0,,1.0,0.0,3.0,1.0,n,0.0,0.0,0.0,0.0,0.0,n,0.0,n,,0.0,h,side,0.0,,0.0,0.0,,oth
CSC ,0.0,2024week0,qm,3.0,r1,71.0,bas,no,0.0,,0.0,0.0,6.0,2.0,ne,1.0,0.0,0.0,0.0,0.0,n,0.0,rd,,0.0,x,side,0.0,,0.0,0.0,,oth
SM,0.0,2024week3Columbus,qm,54.0,r2,7454.0,insas,sz,0.0,,1.0,0.0,4.0,0.0,ne,0.0,0.0,0.0,0.0,0.0,n,1.0,n,,0.0,h,side,0.0,,0.0,0.0,,oth
SM,0.0,2024week3Columbus,qm,50.0,b3,7454.0,ifsas,no,0.0,,1.0,0.0,0.0,0.0,ne,0.0,3.0,0.0,0.0,0.0,n,0.0,n,,0.0,h,side,0.0,,0.0,0.0,,oth
LF,0.0,2024week0,qm,65.0,r1,3559.0,bsss,no,0.0,,0.0,0.0,0.0,0.0,n,0.0,0.0,0.0,0.0,1.0,nos,1.0,n,,1.0,a,side,0.0,,0.0,0.0,Slow,oth
AC,0.0,Columbus,qm,59.0,b2,9491.0,bsss,afsna,0.0,,0.0,0.0,2.0,0.0,n,0.0,1.0,0.0,0.0,0.0,n,0.0,n,,0.0,o,mid,0.0,,0.0,0.0,,swv
Cmh,0.0,2024week0,qm,8.0,b1,71.0,bas,punz,0.0,,1.0,0.0,7.0,0.0,ne,1.0,0.0,0.0,0.0,0.0,n,0.0,bl,,0.0,x,side,0.0,,0.0,0.0,,oth
CJ,0.0,2024week0,qm,1.0,r2,7657.0,insas,no,0.0,,1.0,0.0,2.0,3.0,ne,1.0,0.0,0.0,0.0,0.0,n,0.0,n,,1.0,h,side,0.0,,0.0,0.0,,swv
CJ,0.0,2024week0,qm,10.0,b1,7657.0,insas,no,0.0,,1.0,0.0,0.0,0.0,ne,1.0,0.0,0.0,0.0,1.0,ao,0.0,n,,1.0,x,side,0.0,,0.0,0.0,,swv
CJ,0.0,2024week0,qm,16.0,b1,7657.0,insm,punz,0.0,,2.0,0.0,2.0,1.0,ne,1.0,0.0,0.0,0.0,0.0,n,0.0,n,,0.0,x,side,0.0,,1.0,0.0,,swv
CJ,0.0,2024week0,qm,20.0,r2,7657.0,insm,punz,0.0,,2.0,0.0,1.0,0.0,ne,1.0,0.0,0.0,0.0,1.0,ao,0.0,n,,1.0,h,side,0.0,,0.0,0.0,,swv
CJ,0.0,2024week0,qm,23.0,b1,7657.0,insm,punz,0.0,,2.0,0.0,1.0,0.0,n,0.0,0.0,0.0,0.0,0.0,n,0.0,n,,1.0,x,side,0.0,,0.0,0.0,,swv
CJ,0.0,2024week0,qm,31.0,b3,7657.0,ifsas,no,0.0,,1.0,0.0,1.0,0.0,ne,1.0,0.0,0.0,0.0,0.0,n,0.0,n,,1.0,x,side,0.0,,0.0,0.0,,swv
CJ,0.0,2024week0,qm,35.0,b3,7657.0,ifsas,no,0.0,,1.0,0.0,1.0,1.0,ne,1.0,0.0,0.0,0.0,0.0,n,0.0,n,,0.0,x,side,0.0,,1.0,0.0,I take is not very good,swv
CJ,0.0,2024week0,qm,43.0,b3,7657.0,insas,no,0.0,,1.0,0.0,2.0,1.0,ne,1.0,0.0,0.0,0.0,0.0,n,0.0,n,,1.0,a,side,0.0,,0.0,0.0,,swv
CJ,0.0,2024week0,qm,53.0,r2,7657.0,insas,no,0.0,,1.0,0.0,0.0,0.0,n,0.0,0.0,0.0,0.0,0.0,ao,0.0,n,,1.0,x,side,0.0,,0.0,0.0,,swv
CJ,0.0,2024week0,qm,58.0,r1,7657.0,insm,punz,0.0,,3.0,0.0,1.0,0.0,ne,1.0,0.0,0.0,0.0,0.0,n,0.0,n,,1.0,a,side,0.0,,0.0,0.0,,swv
CJ,0.0,2024week0,sf,63.0,r2,7657.0,insm,punz,0.0,,1.0,2.0,1.0,3.0,ne,1.0,0.0,0.0,0.0,0.0,n,0.0,n,,0.0,x,side,0.0,,0.0,0.0,,swv
CJ,0.0,2024week0,sf,9.0,b1,7657.0,insm,punz,0.0,,2.0,0.0,0.0,0.0,n,0.0,0.0,0.0,0.0,0.0,n,0.0,n,,0.0,x,side,0.0,,1.0,0.0,,swv
AC,0.0,Columbus,qm,53.0,b3,9491.0,bsss,afsna,0.0,,0.0,0.0,0.0,0.0,n,0.0,2.0,0.0,0.0,0.0,n,0.0,n,,1.0,a,side,0.0,,0.0,0.0,,swv
PJH,0.0,2024week,qm,58.0,r1,5484.0,insas,sz,0.0,,0.0,1.0,3.0,4.0,ne,1.0,0.0,0.0,0.0,0.0,n,0.0,rd,,1.0,x,side,0.0,,0.0,0.0,,swv
M.B,0.0,Columbus ,qm,3.0,b1,5188.0,bsss,sz,0.0,,0.0,0.0,2.0,0.0,ne,0.0,0.0,0.0,0.0,1.0,sbs,0.0,n,,0.0,a,side,0.0,,0.0,1.0,,swv
A.F.O,0.0,2024week0,qm,66.0,b1,9453.0,bsss,sz,0.0,,0.0,0.0,0.0,2.0,ne,0.0,0.0,0.0,0.0,1.0,ao,0.0,n,,1.0,x,side,0.0,,0.0,0.0,They don't have an auton,swv
A.F.O,0.0,2024week0,qm,63.0,r1,9453.0,bsss,sz,0.0,,0.0,0.0,0.0,1.0,ne,0.0,0.0,0.0,0.0,1.0,ao,0.0,n,,0.0,x,side,0.0,,0.0,0.0,Doesn't attempt the amp. Can't score in speaker ,
CSC ,0.0,2024week0,qm,13.0,b2,71.0,insas,sz,0.0,,1.0,0.0,6.0,4.0,ne,1.0,0.0,0.0,0.0,0.0,n,0.0,n,,1.0,x,side,0.0,,0.0,0.0,,oth
